id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,item_group_id,google_product_category,custom_label_0
CRAV0386,Copa Avispero 386 ml,<p>- Capacidad 386 ml</p><p>- Caja de 24 unidades</p><p>- Opcional servicio de impresion</p><p>- Producto Importado</p>,in stock,new,2441.30 ARS,https://dc-inc-web-v3.vercel.app/producto/copa-avispero-386-ml,https://cdn.sanity.io/images/4sov2yyo/production/dd02b7370bdb60f5b05fea52b590c439d4319b2b-1280x1280.jpg,,DC Inc,CRAV0386,,
CRAV0615,Copa Avispero 615 ml,<p>- Capacidad 615 ml</p><p>- Caja de 24 unidades</p><p>- Opcional servicio de impresion</p><p>- Producto Importado</p>,in stock,new,3358.46 ARS,https://dc-inc-web-v3.vercel.app/producto/copa-avispero-615-ml,https://cdn.sanity.io/images/4sov2yyo/production/1c61e985e1f5e8095548cea0ff73227e04154e7d-1280x1280.jpg,,DC Inc,CRAV0615,,
NABA0490,Copa Barone 490 ml,<p>Capacidad 490 ml</p><p>&gt;Caja de 490 ml: 12 unidades</p><p></p><p>Opcional servicio de impresion</p>,in stock,new,2386.27 ARS,https://dc-inc-web-v3.vercel.app/producto/copa-barone-490-ml,https://cdn.sanity.io/images/4sov2yyo/production/1e003795559aea72279f3482613fcba0f946b079-1280x1280.jpg,,DC Inc,NABA0490,,
NABR0600,Copa Barone 600 ml,<p>Capacidad 600 ml</p><p>Caja de 600 ml: 6&nbsp;unidades</p><p>Opcional servicio de impresion</p>,in stock,new,3122.41 ARS,https://dc-inc-web-v3.vercel.app/producto/copa-barone-600-ml,https://cdn.sanity.io/images/4sov2yyo/production/cb43e4e667415c4c67e004dd5e29f346105257ff-1280x1280.png,,DC Inc,NABR0600,,
NABA0385,Copa Barone Degustacion 385 ml,<p>- Capacidad 385 ml</p><p>- Caja de 12 unidades</p><p>- Opcional servicio de impresion</p><p>- Producto Importado</p>,in stock,new,1859.27 ARS,https://dc-inc-web-v3.vercel.app/producto/copa-barone-degustacion-385-ml,https://cdn.sanity.io/images/4sov2yyo/production/644f1967c8e5c279ae11831df43edb5b92c05e09-16001x16000.png,,DC Inc,NABA0385,,
PRGB0580,Copa Beefeater 580 ml,<p>Capacidad 580 ml</p><p>Caja de&nbsp;12 unidades</p><p>Opcional servicio de impresion</p>,in stock,new,7350.75 ARS,https://dc-inc-web-v3.vercel.app/producto/copa-beefeater-580-ml,https://cdn.sanity.io/images/4sov2yyo/production/fe570bf9b462ac3c8d9f40a19210eb845c4b63bf-1280x1280.png,,DC Inc,PRGB0580,,
BVBS0400,Copa Beer Sommelier 400 ml,<p>Capacidad 400 ml</p><p>Caja de 400&nbsp;ml: 6 unidades</p><p>Opcional servicio de impresion</p>,in stock,new,7000.14 ARS,https://dc-inc-web-v3.vercel.app/producto/copa-beer-sommelier-400-ml,https://cdn.sanity.io/images/4sov2yyo/production/d030575e583a811c57142e94dde3c8894f3a549e-1280x1280.jpg,,DC Inc,BVBS0400,,
LBB0384,Copa Belga 13 Oz,<p>Capacidad&nbsp;384 ml</p><p>Caja de 384 ml: 12 unidades</p><p>Opcional servicio de impresion</p>,in stock,new,7381.53 ARS,https://dc-inc-web-v3.vercel.app/producto/copa-belga-13-oz,https://cdn.sanity.io/images/4sov2yyo/production/2968b4ae5210d8ac4fdd30b6473b381ce6a36482-1280x1280.jpg,,DC Inc,LBB0384,,
LBB0473,Copa Belga 16 Oz,<p>Capacidad&nbsp;473 ml</p><p>Caja de 473 ml: 12 unidades</p><p>Opcional servicio de impresion</p>,in stock,new,7649.11 ARS,https://dc-inc-web-v3.vercel.app/producto/copa-belga-16-oz,https://cdn.sanity.io/images/4sov2yyo/production/207e39d3edcddeda14d4487e29a84ba514a52edd-1280x1280.jpg,,DC Inc,LBB0473,,
NABG0490,Copa Belga 490 ml,<p>Capacidad&nbsp;490 ml</p><p>Caja de 490 ml: 12 unidades</p><p>Opcional servicio de impresion</p>,in stock,new,2692.58 ARS,https://dc-inc-web-v3.vercel.app/producto/copa-belga-490-ml,https://cdn.sanity.io/images/4sov2yyo/production/eb8c6452d950a7bf27f7f3b7e6fccf3475044445-1280x1280.jpg,,DC Inc,NABG0490,,
PRBN0410,Copa Belgica Nacional 410 ml,<p>Capacidad 410 ml</p><p>Caja de 410&nbsp;ml: 12 unidades</p><p>Opcional servicio de impresion</p>,in stock,new,5556.51 ARS,https://dc-inc-web-v3.vercel.app/producto/copa-belgica-nacional-410-ml,https://cdn.sanity.io/images/4sov2yyo/production/31eef0cbfd5d4a84af5bfad42a02598d50efa3bf-1280x1280.jpg,,DC Inc,PRBN0410,,
CRBO0500,Copa Bolonia 500 ml,<p>Capacidad 500 ml</p><p>Caja de 490&nbsp;ml: 24 unidades</p><p>Opcional servicio de impresion</p>,in stock,new,3677.61 ARS,https://dc-inc-web-v3.vercel.app/producto/copa-bolonia-500-ml,https://cdn.sanity.io/images/4sov2yyo/production/38c63bdfe15fda0981fc77a1d107765030e58915-1280x1280.png,,DC Inc,CRBO0500,,
ROBR465,Copa Br 465 ml,<p>Capacidad 465 ml</p><p>Caja de 48 unidades</p><p>Opcional servicio de impresion</p>,in stock,new,2517.47 ARS,https://dc-inc-web-v3.vercel.app/producto/copa-br-465-ml,https://cdn.sanity.io/images/4sov2yyo/production/a792648e7206356f8a3c6aac5adbf6723b89c815-1280x1280.jpg,,DC Inc,ROBR465,,
NABR0390,Copa Brunello 390 ml,<p>Capacidad 390 ml</p><p>Caja de 390&nbsp;ml: 12 unidades</p><p>Opcional servicio de impresion</p>,in stock,new,2448.85 ARS,https://dc-inc-web-v3.vercel.app/producto/copa-brunello-390-ml,https://cdn.sanity.io/images/4sov2yyo/production/c16a8fe0e4ab88a392efe44ca89e6f8b77340a05-1280x1280.png,,DC Inc,NABR0390,,
NABL0400,Copa Brunello 400 ml,<p>Capacidad 400 ml</p><p>Caja de 400&nbsp;ml: 12 unidades</p><p>Opcional servicio de impresion</p>,in stock,new,2386.27 ARS,https://dc-inc-web-v3.vercel.app/producto/copa-brunello-400-ml,https://cdn.sanity.io/images/4sov2yyo/production/a78eefa785fec4c9efe9ba4869c7d96c364d8610-1280x1280.jpg,,DC Inc,NABL0400,,
CRBL0408,Copa Brunello 408 ml,<p>Capacidad 408 ml</p><p>Caja de 408&nbsp;ml: 24 unidades</p><p>Opcional servicio de impresion</p>,in stock,new,2669.48 ARS,https://dc-inc-web-v3.vercel.app/producto/copa-brunello-408-ml,https://cdn.sanity.io/images/4sov2yyo/production/fac8007c56c3f94e74c4c8037a6f87319ddd3983-1280x1280.png,,DC Inc,CRBL0408,,
NABL0490,Copa Brunello 490 ml,<p>Capacidad 490 ml</p><p>Caja de 490&nbsp;ml: 12 unidades</p><p>Opcional servicio de impresion</p>,in stock,new,2448.85 ARS,https://dc-inc-web-v3.vercel.app/producto/copa-brunello-490-ml,https://cdn.sanity.io/images/4sov2yyo/production/c16a8fe0e4ab88a392efe44ca89e6f8b77340a05-1280x1280.png,,DC Inc,NABL0490,,
CBCH0400,Copa Bruselas 400 ml,<p>Capacidad&nbsp;400 ml</p><p>Caja de 400 ml: 24 unidades</p><p>Opcional servicio de impresion</p>,in stock,new,3152.97 ARS,https://dc-inc-web-v3.vercel.app/producto/copa-bruselas-400-ml,https://cdn.sanity.io/images/4sov2yyo/production/49f5bbde041ff550628b0aa93342f22dac851644-1280x1280.jpg,,DC Inc,CBCH0400,,
SMB0300,Copa Buffet 300 ml,<p>&nbsp;- Capacidad 300 ml</p><p>&nbsp;- Caja de 12 unidades</p><p>&nbsp;- Opcional servicio de impresion</p><p>&nbsp;- Producto Nacional</p>,in stock,new,2205.12 ARS,https://dc-inc-web-v3.vercel.app/producto/copa-buffet-300-ml,https://cdn.sanity.io/images/4sov2yyo/production/20550959e6def8005be4ddf475fdeabe44793b60-1280x1280.jpg,,DC Inc,SMB0300,,
